uri,cid,author_did,author_handle,author_display_name,text,created_at,reply_count,repost_count,like_count,indexed_at,langs
at://did:plc:eugfmx4lsdspdkq5ndjdzvrv/app.bsky.feed.post/3lv6mbr6he22s,bafyreibdmwrzbtqkj6yxj7qgzelzpkdknmgd6vvscehjonjg6lnzx4uzhq,did:plc:eugfmx4lsdspdkq5ndjdzvrv,kadello.bsky.social,Microwave warrior,"Esse suco de m** deve durar uns 10 anos estocado, e quando vence devem reciclar isso com soda caustica que nem faz com leite, por isso eles não se preocupam. Mas a gente devia se preocupar quando nem na reação a ""esquerda"" o governo pauta melhora pra agricultura que atende nois, ta é coptando o agro",2025-07-30T12:21:11.753Z,0,0,0,2025-07-30T12:21:10.607Z,['pt']
at://did:plc:hehtoygub3fe3fejye7k6wwx/app.bsky.feed.post/3lv6lifu5fs2j,bafyreibv345nthzjwgdodx5hgprfafvu7yz56mi7jxla6donrsegdmr2pu,did:plc:hehtoygub3fe3fejye7k6wwx,erikab1.bsky.social,Erika_b1,"O problema não eh o governo A ou B. São os congressistas que dão subsídios e isenções zilionarias pro AGRO LUCRAR. Aí, ao invés de  VENDER aqui, vendem em DOLAR",2025-07-30T12:07:01.020Z,0,0,1,2025-07-30T12:07:03.107Z,['en']
at://did:plc:nlxguc3mkbfq2kxue666qdym/app.bsky.feed.post/3lv6lgnavh22f,bafyreibuacy7jdy2vbefrxnn2xqva2cc736hvby4ih4n62nscvi474ucxq,did:plc:nlxguc3mkbfq2kxue666qdym,pittyxavier.bsky.social,Priscilla Xavier,O agro é um negócio. Mas com características muito próprias. A que ponto? Já deram demonstrações inúmeras de que preferem descartar mercadoria a escoar no mercado interno ou fazer algum tipo de movimento pela redução da fome em áreas vulneráveis. Por essas e outras não tenho empatia!,2025-07-30T12:06:01.668Z,0,0,0,2025-07-30T12:06:05.212Z,['pt']
at://did:plc:nylvuouiejfot7io2l27kide/app.bsky.feed.post/3lv6lgi4shs2z,bafyreiahriomwa4wx2tugmiy5wdlbxd5pxfskx7wpske5vsll2ca2wuwve,did:plc:nylvuouiejfot7io2l27kide,freiraead.bsky.social,라피,"Brasil tem MUITO alimento. A diferença é que nos alimentamos do que a agricultura familiar produz, enquanto que o agro envia tudo para o exterior. Pois é!",2025-07-30T12:05:56.292Z,0,0,0,2025-07-30T12:05:57.605Z,['pt']
at://did:plc:5igygcmxwz4lek4yoob7usgt/app.bsky.feed.post/3lv6lalqqz22s,bafyreideb3ydnlevy3frykauxhld2khrsikd74bqcn2kdhtzaa6lytmhbi,did:plc:5igygcmxwz4lek4yoob7usgt,eduardokafer.bsky.social,Eduardo Kafer,"""O agro alimenta o Brasil"". O agro quer é lucro. Se puder vender em dólar e ver a gente passando perrengue, eles não tão nem aí.",2025-07-30T12:02:38.761Z,0,0,1,2025-07-30T12:02:41.205Z,['pt']
at://did:plc:udxobhxglzf2p6raewiedvth/app.bsky.feed.post/3lv6l662od22w,bafyreietqeslqhltby24ekqkdgymuiar3yyfuoshn7bva5nrb2afxm4zd4,did:plc:udxobhxglzf2p6raewiedvth,condepaspalho.bsky.social,Leia Jiraishin,Eu quando sou Brasileiro e o agro tem que vender tudo mais barato,2025-07-30T12:01:17.300Z,0,2,4,2025-07-30T12:01:19.210Z,['pt']
at://did:plc:razafgyj7hhusljz5gcmrgzj/app.bsky.feed.post/3lv6kprqnxs2v,bafyreifqo36keqqq4h6a6oyyw6cuholvhl2m2kuh7orfvi5gjoxkhm4idq,did:plc:razafgyj7hhusljz5gcmrgzj,marelhos.bsky.social,Marelhos,O agro é morte,2025-07-30T11:53:14.628Z,0,0,0,2025-07-30T11:53:15.605Z,['pt']
at://did:plc:gkivphikfy4olkmweuogups6/app.bsky.feed.post/3lv6kckqyek2r,bafyreigr7ca2mys2l3brc37daddyaj6oezclkil3ean6zsnrwrcrpvh3ky,did:plc:gkivphikfy4olkmweuogups6,procurandosair.bsky.social,,"A questão central o povo acordar  entender de fato como as coisas são e se levantar contra essa elite 
Sei que é difícil, mas temos uma ótima oportunidade de acordar alguns pra entender que o Agro é o maior sanguessuga desse país 
Gera pouco emprego, mamam nas tetas do governo, pra enriquecer poucos",2025-07-30T11:45:51.091Z,0,0,1,2025-07-30T11:45:51.910Z,['en']
at://did:plc:2yweufms6o2mvtheib6b6vj3/app.bsky.feed.post/3lv6k23cils2p,bafyreigxhvcz3oitwjvw4rwfskf5lt6fd4sfh3ubjvsl7vturw6hjntwe4,did:plc:2yweufms6o2mvtheib6b6vj3,fk19121966.bsky.social,,"EFEITO BOLSONARO
www.brasil247.com/agro/exporta...",2025-07-30T11:41:06.451Z,0,0,0,2025-07-30T11:41:15.308Z,['pt']
at://did:plc:tirutta4zevidpwfuht7csdi/app.bsky.feed.post/3lv6jz6cjbs2o,bafyreiakqrnrfbl3bkwp44lq5wh7hkpt7y3tfn5gov5f4ed6s7rxjyeire,did:plc:tirutta4zevidpwfuht7csdi,priskika.bsky.social,Namorada reborn,"O agro lucra com a fome do brasileiro. Agro é fome, trabalho escravo, devastação e morte.",2025-07-30T11:40:36.042Z,0,8,20,2025-07-30T11:40:36.306Z,['pt']
at://did:plc:43jiklmif2excm3b2rngeawc/app.bsky.feed.post/3lv6jxnd33c2m,bafyreihhpnllt7e62uptke5l7srrgqocjibx2kpysr4hem62ah53snv6da,did:plc:43jiklmif2excm3b2rngeawc,gasseruto.bsky.social,Laura,"o brasileiro descobrindo que tem comida o suficiente no país pra ninguém passar fome e todo mundo comer bem, mas que o agro direciona tudo pra fora.",2025-07-30T11:39:44.682Z,0,25,62,2025-07-30T11:39:45.207Z,['pt']
at://did:plc:f3pc53tz35mrvuw7vzjeikww/app.bsky.feed.post/3lv6jcusfe224,bafyreifehd5efdkr2wwlxnho22u426cy5oimlgvnhac4w5osjul2xed3r4,did:plc:f3pc53tz35mrvuw7vzjeikww,pudimon.bsky.social,oran berry do amor,"ah sim um editorial do estadão condenando um bolsonaro, algo que se vê todo dia

espero que continue assim depois que passar a raivinha do agro",2025-07-30T11:28:07.881Z,0,0,1,2025-07-30T11:28:08.108Z,['pt']
at://did:plc:56hquzq7k6l2isqqkchsmo2y/app.bsky.feed.post/3lv6j7qkxns2h,bafyreiewgs4o765cjkagmiucqoqoq2deez7syj6hruabrimmccmpebyqvi,did:plc:56hquzq7k6l2isqqkchsmo2y,cacobrasil2.bsky.social,CACO BRASIL 2,"EXPORTADORES PERDEM BILHÃO MAS NÃO VENDEM MAIS BARATO PRO POVO BRASILEIRO ...  
ELES SABEM QUE O GOVERNO VAI LIBERAR DIN DIN ...
www.brasil247.com/agro/exporta...",2025-07-30T11:26:22.780Z,0,0,0,2025-07-30T11:26:27.006Z,['pt']
at://did:plc:s6e4dhd3k6i2njlxmgdv5bkw/app.bsky.feed.post/3lv6j2e5stc2i,bafyreie6wmvdrnzdj6masju6lorkjdn3q2skuhlwklolewrthkzha77t3q,did:plc:s6e4dhd3k6i2njlxmgdv5bkw,brunodoamaral.bsky.social,Bruno do Amaral,"Depois da doutrinação com jogos de fazendinha, a Nintendo mostra com a localização do Zelda em português que tem ligações com a bancada agro, entenda:",2025-07-30T11:23:21.990Z,0,0,0,2025-07-30T11:23:25.209Z,['en']
at://did:plc:juijhj3rdgmg6a7wyj2jostp/app.bsky.feed.post/3lv6j2czthk2e,bafyreihih7pxpt6mz3yx3jwlz4vlaaqs5xhfqdb7qfh3vmbebzkpal4dmu,did:plc:juijhj3rdgmg6a7wyj2jostp,saulcastro.bsky.social,,"Laranja estava fora do meu cardápio a tempos,mas ontem paguei 2,90 reais o kilo.
Que se foda o Agro",2025-07-30T11:23:20.814Z,0,1,12,2025-07-30T11:23:22.706Z,['pt']
at://did:plc:sb3iqgtlyzksb2x42my42xvk/app.bsky.feed.post/3lv6inuhjrc2n,bafyreiheqhlck5qvctmdwkgj3fhmpksidbyij2ubuhpu57vu6omkv3ass4,did:plc:sb3iqgtlyzksb2x42my42xvk,noelfilho.bsky.social,Noel Filho,"Aqui o Agro faz e desfaz e nada acontece, sem consequências, os números comprovam que o Agro é o que é pq tem rios de dinheiro público e esse dinheiro não retorna, fica concentrado nas mãos dos latifundiários...",2025-07-30T11:16:22.882Z,0,0,0,2025-07-30T11:16:24.706Z,['pt']
